Date;Rows Exported;Comment
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;0.477206;15;LOI
2025-05-10;0.477206;15;LOI
2025-05-10;0.477206;15;LOI
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;0.477206;15;LOI
2025-05-10;0.477206;15;LOI
2025-05-10;0.477206;15;LOI
2025-05-10;0.477206;15;LOI
2025-05-10;0.477206;15;LOI
2025-05-10;0.477206;15;LOI
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;0.477206;15;LOI
2025-05-10;0.477206;15;LOI
2025-05-10;0.477206;15;LOI
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;20;Initial export from Excel using target: yield_loi
2025-05-10;14;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;20;Initial export from Excel using target: yield_loi
2025-05-10;18;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;16;Initial export from Excel using target: yield_loi
2025-05-10;16;Initial export from Excel using target: yield_loi
2025-05-10;16;Initial export from Excel using target: yield_loi
2025-05-10;16;Initial export from Excel using target: yield_loi
2025-05-10;16;Initial export from Excel using target: yield_loi
2025-05-11;16;Initial export from Excel using target: yield_loi
2025-05-11;16;Initial export from Excel using target: yield_loi
2025-05-11;15;Initial export from Excel using target: yield_loi
2025-05-11;15;Initial export from Excel using target: yield_loi
2025-05-11;15;Initial export from Excel using target: yield_loi
2025-05-11;15;Initial export from Excel using target: yield_loi
2025-05-11;15;Initial export from Excel using target: yield_loi
2025-05-11;15;Initial export from Excel using target: yield_loi
2025-05-11;15;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;20;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;17;Initial export from Excel using target: yield_loi
2025-05-12;15;Initial export from Excel using target: yield_loi
2025-05-13;17;Initial export from Excel using target: yield_loi
2025-05-13;17;Initial export from Excel using target: yield_loi
2025-05-13;15;Initial export from Excel using target: yield_loi
