Timestamp;Model_Name;Input_Dim;Kernel_Type;Noise_Prior_Range;Mean_MSE_LOOCV;ARD;Number_trainingpoints;Prior_type;Lengthscale_Prior;Noise_value;Notes;Spalte1;Spalte2;Spalte3;;
09.05.25 12:30;GP_Matern_1.5;4;Matern;(0.003, 0.5);0.003443;False;20;;;0.08823283121088735;Automated grid search;;0,003443;;;
09.05.25 12:30;GP_Matern_1.5;4;Matern;(0.003, 0.5);0.003443;False;20;Gamma;(2.0, 0.15);0.08823283121088735;Automated grid search;;0,003443;;;
09.05.25 11:42;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003443;False;20;;;0.0882335080002934;Automated grid search;;0,003443;;;
09.05.25 11:42;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003443;False;20;Gamma;(2.0, 0.5);0.0882335080002934;Automated grid search;;0,003443;;;
09.05.25 12:27;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003443;False;20;;;0.0882335080002934;Automated grid search;;0,003443;;;
09.05.25 12:27;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003443;False;20;Gamma;(1.1, 0.05);0.0882335080002934;Automated grid search;;0,003443;;;
09.05.25 12:30;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003443;False;20;;;0.0882335080002934;Automated grid search;;0,003443;;;
09.05.25 12:30;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003443;False;20;Gamma;(2.0, 0.15);0.0882335080002934;Automated grid search;;0,003443;;;
09.05.25 12:30;GP_RBF;4;RBF;(0.003, 0.5);0.00343;False;20;;;0.08967450371582725;Automated grid search;;0,00343;;;
09.05.25 12:30;GP_RBF;4;RBF;(0.003, 0.5);0.00343;False;20;Gamma;(2.0, 0.15);0.08967450371582725;Automated grid search;;0,00343;;;
09.05.25 11:42;GP_RBF;4;RBF;(0.0001, 0.2);0.00343;False;20;;;0.08967452026594612;Automated grid search;;0,00343;;;
09.05.25 11:42;GP_RBF;4;RBF;(0.0001, 0.2);0.00343;False;20;Gamma;(2.0, 0.5);0.08967452026594612;Automated grid search;;0,00343;;;
09.05.25 12:27;GP_RBF;4;RBF;(0.0001, 0.2);0.00343;False;20;;;0.08967452026594612;Automated grid search;;0,00343;;;
09.05.25 12:27;GP_RBF;4;RBF;(0.0001, 0.2);0.00343;False;20;Gamma;(2.0, 0.5);0.08967452026594612;Automated grid search;;0,00343;;;
09.05.25 12:30;GP_RBF;4;RBF;(0.0001, 0.2);0.00343;False;20;;;0.08967452026594612;Automated grid search;;0,00343;;;
09.05.25 12:30;GP_RBF;4;RBF;(0.0001, 0.2);0.00343;False;20;Gamma;(2.0, 0.15);0.08967452026594612;Automated grid search;;0,00343;;;
09.05.25 12:30;GP_RBF;4;RBF;(0.003, 0.5);0.00654;True;20;;;0.09013850929980824;Automated grid search;;0,00654;;;
09.05.25 12:30;GP_RBF;4;RBF;(0.003, 0.5);0.00654;True;20;Gamma;(2.0, 0.15);0.09013850929980824;Automated grid search;;0,00654;;;
09.05.25 11:42;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003891;False;20;;;0.09064060233847727;Automated grid search;;0,003891;;;
09.05.25 11:42;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003891;False;20;Gamma;(2.0, 0.5);0.09064060233847727;Automated grid search;;0,003891;;;
09.05.25 12:27;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003891;False;20;;;0.09064060233847727;Automated grid search;;0,003891;;;
09.05.25 12:27;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003891;False;20;Gamma;(1.1, 0.05);0.09064060233847727;Automated grid search;;0,003891;;;
09.05.25 12:30;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003891;False;20;;;0.09064060233847727;Automated grid search;;0,003891;;;
09.05.25 12:30;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003891;False;20;Gamma;(2.0, 0.15);0.09064060233847727;Automated grid search;;0,003891;;;
09.05.25 12:30;GP_Matern_0.5;4;Matern;(0.003, 0.5);0.003891;False;20;;;0.09064218623395107;Automated grid search;;0,003891;;;
